No,CASHTAG,NAME,PRICE,CLOSE,CHG,%CHG,VOLUME,HIGH,LOW,BUY (QTY),SELL (QTY)
212,$BPUR,BINA PURI HLDGS,0.330,0.33,0.000,0.000%,10317600,0.34,0.32,0.325 (353600),0.335 (209000)
213,$BINC,BINASAT COMMUNIC,0.110,0.11,0.005,4.760%,3030300,0.12,0.10,0.105 (974400),0.110 (103800)
214,$BINS,BINASTRA CORP,1.850,1.87,-0.010,-0.530%,48700,1.86,1.85,1.850 (7700),1.860 (19700)
215,$BKCB,BINTAI KINDEN,0.075,0.08,-0.005,-6.250%,2276600,0.08,0.08,0.070 (9295700),0.075 (1166500)
216,$BPOT,BINTULU PORT,5.210,5.35,-0.140,-2.620%,2100,5.35,5.20,5.200 (500),5.680 (400)
217,$BIOA,BIOALPHA HLDG,0.015,0.02,0.000,0.000%,52600,0.02,0.02,0.015 (747300),0.020 (2271400)
218,$BLDN,BLD PLANTATION,10.500,10.50,0.000,0.000%,0,10.50,10.50,10.500 (1200),11.500 (900)
219,$BMGR,BM GREENTECH BER,1.870,1.86,0.010,0.540%,264900,1.88,1.86,1.870 (2200),1.880 (75100)
220,$BETA,BETAMEK BERHAD,0.400,0.40,0.005,1.270%,252300,0.41,0.40,0.395 (159000),0.405 (279300)
221,$BDBS,BINA DARULAMAN,0.230,0.23,0.000,0.000%,0,0.23,0.23,0.230 (47000),0.240 (5000)
222,$BPUR,BINA PURI HLDGS,0.330,0.33,0.000,0.000%,10317600,0.34,0.32,0.325 (353600),0.335 (209000)
223,$BINC,BINASAT COMMUNIC,0.110,0.11,0.005,4.760%,3030300,0.12,0.10,0.105 (974400),0.110 (103800)
224,$BINS,BINASTRA CORP,1.850,1.87,-0.010,-0.530%,48700,1.86,1.85,1.850 (7700),1.860 (19700)
225,$BKCB,BINTAI KINDEN,0.075,0.08,-0.005,-6.250%,2276600,0.08,0.08,0.070 (9295700),0.075 (1166500)
226,$BPOT,BINTULU PORT,5.210,5.35,-0.140,-2.620%,2100,5.35,5.20,5.200 (500),5.680 (400)
227,$BIOA,BIOALPHA HLDG,0.015,0.02,0.000,0.000%,52600,0.02,0.02,0.015 (747300),0.020 (2271400)
228,$BLDN,BLD PLANTATION,10.500,10.50,0.000,0.000%,0,10.50,10.50,10.500 (1200),11.500 (900)
229,$BMGR,BM GREENTECH BER,1.870,1.86,0.010,0.540%,264900,1.88,1.86,1.870 (2200),1.880 (75100)
230,$BONI,BONIA CORP,1.110,1.15,-0.040,-3.480%,141500,1.12,1.10,1.100 (61100),1.120 (14600)
231,$BRNL,BORNEO OIL BHD,0.005,0.01,0.000,0.000%,6766900,0.01,0.01,0.000 (0),0.005 (207033400)
232,$BHIB,BOUSTEAD HEAVY,0.290,0.29,0.000,0.000%,600,0.29,0.29,0.290 (6700),0.305 (16300)
233,$BPAK,BOX-PAK BHD,0.470,0.47,0.000,0.000%,0,0.00,0.00,0.370 (3000),0.470 (9000)
234,$BPPL,BP PLASTICS HLDG,0.910,0.92,-0.005,-0.550%,28200,0.92,0.91,0.905 (4700),0.910 (3000)
235,$BPAC,BRIGHT PAC IND.,0.170,0.17,0.000,0.000%,0,0.00,0.00,0.145 (8800),0.170 (2500)
236,$BECH,BRITE-TECH BHD,0.265,0.27,-0.005,-1.850%,63600,0.27,0.27,0.265 (119500),0.270 (105800)
237,$BATO,BRITISH AME TOBA,4.770,4.69,0.060,1.280%,62100,4.79,4.67,4.750 (200),4.770 (5700)
238,$BSLC,BSL CORPORATION,0.015,0.02,-0.005,-25.000%,145900,0.02,0.02,0.015 (54533800),0.020 (976000)
239,$BTMR,BTM RESOURCES,0.040,0.04,0.000,0.000%,0,0.04,0.04,0.030 (50000),0.040 (1042000)
240,$BONI,BONIA CORP,1.110,1.15,-0.040,-3.480%,141500,1.12,1.10,1.100 (61100),1.120 (14600)
241,$BRNL,BORNEO OIL BHD,0.005,0.01,0.000,0.000%,6766900,0.01,0.01,0.000 (0),0.005 (207033400)
242,$BHIB,BOUSTEAD HEAVY,0.290,0.29,0.000,0.000%,600,0.29,0.29,0.290 (6700),0.305 (16300)
243,$BPAK,BOX-PAK BHD,0.470,0.47,0.000,0.000%,0,0.00,0.00,0.370 (3000),0.470 (9000)
244,$BPPL,BP PLASTICS HLDG,0.910,0.92,-0.005,-0.550%,28200,0.92,0.91,0.905 (4700),0.910 (3000)
245,$BPAC,BRIGHT PAC IND.,0.170,0.17,0.000,0.000%,0,0.00,0.00,0.145 (8800),0.170 (2500)
246,$BECH,BRITE-TECH BHD,0.265,0.27,-0.005,-1.850%,63600,0.27,0.27,0.265 (119500),0.270 (105800)
247,$BATO,BRITISH AME TOBA,4.770,4.69,0.060,1.280%,62100,4.79,4.67,4.750 (200),4.770 (5700)
248,$BSLC,BSL CORPORATION,0.015,0.02,-0.005,-25.000%,145900,0.02,0.02,0.015 (54533800),0.020 (976000)
249,$BTMR,BTM RESOURCES,0.040,0.04,0.000,0.000%,0,0.04,0.04,0.030 (50000),0.040 (1042000)
250,$BONI,BONIA CORP,1.110,1.15,-0.040,-3.480%,141500,1.12,1.10,1.100 (61100),1.120 (14600)
251,$BRNL,BORNEO OIL BHD,0.005,0.01,0.000,0.000%,6766900,0.01,0.01,0.000 (0),0.005 (207033400)
252,$BHIB,BOUSTEAD HEAVY,0.290,0.29,0.000,0.000%,600,0.29,0.29,0.290 (6700),0.305 (16300)
253,$BPAK,BOX-PAK BHD,0.470,0.47,0.000,0.000%,0,0.00,0.00,0.370 (3000),0.470 (9000)
254,$BPPL,BP PLASTICS HLDG,0.910,0.92,-0.005,-0.550%,28200,0.92,0.91,0.905 (4700),0.910 (3000)
255,$BPAC,BRIGHT PAC IND.,0.170,0.17,0.000,0.000%,0,0.00,0.00,0.145 (8800),0.170 (2500)
256,$BECH,BRITE-TECH BHD,0.265,0.27,-0.005,-1.850%,63600,0.27,0.27,0.265 (119500),0.270 (105800)
257,$BATO,BRITISH AME TOBA,4.770,4.69,0.060,1.280%,62100,4.79,4.67,4.750 (200),4.770 (5700)
258,$BSLC,BSL CORPORATION,0.015,0.02,-0.005,-25.000%,145900,0.02,0.02,0.015 (54533800),0.020 (976000)
259,$BTMR,BTM RESOURCES,0.040,0.04,0.000,0.000%,0,0.04,0.04,0.030 (50000),0.040 (1042000)
260,$BONI,BONIA CORP,1.110,1.15,-0.040,-3.480%,141500,1.12,1.10,1.100 (61100),1.120 (14600)
261,$BRNL,BORNEO OIL BHD,0.005,0.01,0.000,0.000%,6766900,0.01,0.01,0.000 (0),0.005 (207033400)
262,$BHIB,BOUSTEAD HEAVY,0.290,0.29,0.000,0.000%,600,0.29,0.29,0.290 (6700),0.305 (16300)
263,$BPAK,BOX-PAK BHD,0.470,0.47,0.000,0.000%,0,0.00,0.00,0.370 (3000),0.470 (9000)
264,$BPPL,BP PLASTICS HLDG,0.910,0.92,-0.005,-0.550%,28200,0.92,0.91,0.905 (4700),0.910 (3000)
265,$BPAC,BRIGHT PAC IND.,0.170,0.17,0.000,0.000%,0,0.00,0.00,0.145 (8800),0.170 (2500)
266,$BECH,BRITE-TECH BHD,0.265,0.27,-0.005,-1.850%,63600,0.27,0.27,0.265 (119500),0.270 (105800)
267,$BATO,BRITISH AME TOBA,4.770,4.69,0.060,1.280%,62100,4.79,4.67,4.750 (200),4.770 (5700)
268,$BSLC,BSL CORPORATION,0.015,0.02,-0.005,-25.000%,145900,0.02,0.02,0.015 (54533800),0.020 (976000)
269,$BTMR,BTM RESOURCES,0.040,0.04,0.000,0.000%,0,0.04,0.04,0.030 (50000),0.040 (1042000)
270,$BONI,BONIA CORP,1.110,1.15,-0.040,-3.480%,141500,1.12,1.10,1.100 (61100),1.120 (14600)
271,$BRNL,BORNEO OIL BHD,0.005,0.01,0.000,0.000%,6766900,0.01,0.01,0.000 (0),0.005 (207033400)
272,$BHIB,BOUSTEAD HEAVY,0.290,0.29,0.000,0.000%,600,0.29,0.29,0.290 (6700),0.305 (16300)
273,$BPAK,BOX-PAK BHD,0.470,0.47,0.000,0.000%,0,0.00,0.00,0.370 (3000),0.470 (9000)
274,$BPPL,BP PLASTICS HLDG,0.910,0.92,-0.005,-0.550%,28200,0.92,0.91,0.905 (4700),0.910 (3000)
275,$BPAC,BRIGHT PAC IND.,0.170,0.17,0.000,0.000%,0,0.00,0.00,0.145 (8800),0.170 (2500)
276,$BECH,BRITE-TECH BHD,0.265,0.27,-0.005,-1.850%,63600,0.27,0.27,0.265 (119500),0.270 (105800)
277,$BATO,BRITISH AME TOBA,4.770,4.69,0.060,1.280%,62100,4.79,4.67,4.750 (200),4.770 (5700)
278,$BSLC,BSL CORPORATION,0.015,0.02,-0.005,-25.000%,145900,0.02,0.02,0.015 (54533800),0.020 (976000)
279,$BTMR,BTM RESOURCES,0.040,0.04,0.000,0.000%,0,0.04,0.04,0.030 (50000),0.040 (1042000)
280,$CCIN,CC INTERNATIONAL,0.330,0.33,0.000,0.000%,0,0.00,0.00,0.000 (0),0.000 (0)
281,$CCKH,CCK CONSOLIDATED,1.270,1.27,0.000,0.000%,2200,1.27,1.27,1.270 (2800),1.280 (24000)
282,$CETE,CE TECHNOLOGY,0.750,0.75,0.000,0.000%,0,0.00,0.00,0.000 (0),0.000 (0)
283,$CEKD,CEKD BERHAD,0.395,0.40,0.000,0.000%,0,0.40,0.38,0.375 (9800),0.395 (18000)
284,$CELC,CELCOMDIGI,3.840,3.85,-0.010,-0.260%,698800,3.88,3.82,3.830 (69700),3.840 (100600)
285,$CENG,CENGILD MEDICAL,0.230,0.23,0.000,0.000%,394100,0.23,0.23,0.230 (137900),0.235 (320100)
286,$CNSH,CENSOF HLD,0.195,0.19,0.005,2.630%,889200,0.20,0.19,0.190 (661200),0.195 (89600)
287,$CENT,CENTRAL GLOBAL,0.880,0.89,-0.005,-0.560%,5594100,0.89,0.88,0.880 (36600),0.885 (30000)
288,$CPWA,CEPATWAWASAN,0.640,0.64,0.000,0.000%,20000,0.64,0.64,0.635 (17000),0.640 (5000)
289,$CETH,CHEETAH HOLDINGS,0.100,0.10,0.000,0.000%,0,0.10,0.10,0.095 (18000),0.105 (25200)
290,$CHEM,CHEMLITE INNOVAT,0.225,0.21,0.015,7.140%,2463100,0.23,0.22,0.220 (882300),0.225 (1868400)
291,$CHIU,CHIN HIN GROUP,2.240,2.21,0.040,1.810%,28900,2.25,2.21,2.230 (65700),2.250 (6300)
292,$CHIN,CHIN HIN GROUP,1.050,1.05,0.000,0.000%,65000,1.05,1.04,1.040 (25500),1.050 (21000)
293,$CTPB,CHIN TECK PLANT,9.450,9.50,-0.050,-0.530%,100,9.45,9.45,9.410 (300),9.450 (1000)
294,$CWHB,CHIN WELL HLDGS,0.800,0.80,0.000,0.000%,35000,0.81,0.80,0.800 (22000),0.810 (3200)
295,$COWH,CHINA OUHUA WINE,0.050,0.05,-0.010,-20.000%,80000,0.05,0.04,0.040 (184600),0.050 (348000)
296,$CHOO,CHOO BEE METAL,0.550,0.55,0.000,0.000%,20000,0.55,0.55,0.540 (10000),0.575 (8000)
297,$CHRB,CHUAN HUAT RES.,0.280,0.31,-0.025,-8.200%,2000,0.28,0.28,0.280 (16000),0.305 (5000)
298,$CIMB,CIMB GRP BHD,6.720,6.70,0.040,0.600%,7428500,6.77,6.66,6.730 (151400),6.750 (781500)
299,$CITA,CITAGLOBAL,0.805,0.81,-0.005,-0.620%,14900,0.81,0.81,0.800 (25000),0.810 (2000)
300,$COMF,COMFORT GLOVES,0.275,0.28,-0.005,-1.790%,163300,0.28,0.27,0.275 (209600),0.280 (223000)
301,$CPGT,COMPUGATES HLDGS,0.015,0.02,0.000,0.000%,0,0.02,0.02,0.015 (473700),0.020 (30164200)
302,$CFMS,COMPUTER FORMS,0.095,0.10,0.000,0.000%,50000,0.10,0.10,0.095 (2782200),0.100 (1372900)
303,$CONC,CONCRETE ENGINE,1.100,1.11,-0.010,-0.900%,1100,1.10,1.10,1.090 (1000),1.100 (2000)
304,$CORA,CORAZA INTEGRAT,0.500,0.49,0.010,2.040%,2744700,0.51,0.49,0.495 (148100),0.500 (14500)
305,$COSO,COSMOS TECHNOLOG,0.285,0.29,0.000,0.000%,0,0.29,0.29,0.285 (10300),0.295 (25200)
306,$CHHB,COUNTRY HEIGHTS,0.240,0.24,0.005,2.130%,682500,0.24,0.23,0.235 (220200),0.240 (51600)
307,$CVIE,COUNTRY VIEW,2.280,2.28,0.000,0.000%,9700,2.28,2.28,2.130 (1000),2.300 (3300)
308,$CPET,CPE TECHNOLOGY,0.910,0.88,0.025,2.840%,3191000,0.94,0.89,0.900 (72600),0.905 (47900)
309,$CREC,CRESCENDO CORP,1.230,1.23,-0.010,-0.810%,61000,1.24,1.22,1.220 (100),1.230 (16000)
310,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
311,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
312,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
313,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
314,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
315,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
316,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
317,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
318,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
319,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
320,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
321,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
322,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
323,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
324,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
325,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
326,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
327,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
328,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
329,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
330,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
331,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
332,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
333,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
334,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
335,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
336,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
337,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
338,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
339,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
340,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
341,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
342,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
343,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
344,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
345,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
346,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
347,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
348,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
349,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
350,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
351,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
352,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
353,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
354,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
355,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
356,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
357,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
358,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
359,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
360,$CREH,CREST BUILDER HL,0.585,0.60,-0.010,-1.680%,10000,0.59,0.59,0.575 (1000),0.590 (23000)
361,$CRET,CREST GROUP,0.195,0.20,-0.005,-2.500%,1208600,0.20,0.19,0.190 (265300),0.195 (528700)
362,$CRIT,CRITICAL HOLD,0.940,0.96,0.000,0.000%,688000,0.97,0.95,0.945 (35000),0.955 (24200)
363,$CROP,CROPMATE BHD,0.175,0.18,0.000,0.000%,1114000,0.18,0.18,0.175 (445200),0.180 (817200)
364,$CSTH,CSC STEEL HLDGS,1.060,1.07,-0.010,-0.930%,82100,1.07,1.06,1.060 (23400),1.070 (8800)
365,$CTOS,CTOS DIGITAL,0.950,0.95,0.005,0.530%,534100,0.96,0.95,0.940 (423000),0.950 (349700)
366,$CUCK,CUCKOO INTERNAT,0.865,0.87,-0.005,-0.570%,1131800,0.88,0.86,0.865 (33500),0.870 (144100)
367,$CUSC,CUSCAPI BHD,0.170,0.17,0.005,3.030%,1082100,0.18,0.17,0.170 (462600),0.175 (68700)
368,$CWGH,CWG HOLDINGS,0.170,0.17,0.000,0.000%,0,0.17,0.17,0.165 (102400),0.185 (20000)
369,$CYBE,CYBERJAYA EDUCAT,0.820,0.89,-0.065,-7.340%,76500,0.83,0.82,0.820 (7000),0.850 (5000)
370,$ESTH,ESTHETICS INTL,0.215,0.22,0.000,0.000%,0,0.22,0.22,0.215 (30800),0.265 (190000)
371,$EUPE,EUPE CORPORATION,0.950,0.95,0.000,0.000%,0,0.95,0.94,0.940 (10300),0.950 (33900)
372,$ERHB,EURO HOLDINGS,0.045,0.05,0.000,0.000%,355500,0.05,0.05,0.045 (4936400),0.050 (1014000)
373,$ESAN,EUROSPAN HLDGS,2.300,2.19,0.110,5.020%,2900,2.30,2.30,2.190 (10000),0.000 (0)
374,$EVDB,EVD,0.060,0.06,0.000,0.000%,0,0.06,0.06,0.060 (18000),0.065 (4000)
375,$EVGN,EVERGREEN FIBREB,0.185,0.19,-0.005,-2.630%,462000,0.19,0.19,0.185 (81000),0.190 (150600)
376,$EVEG,EVERGREEN MAX CA,0.300,0.30,0.000,0.000%,365100,0.30,0.30,0.295 (463700),0.300 (47400)
377,$EVES,EVERSAFE RUBBER,0.120,0.12,0.000,0.000%,19000,0.12,0.12,0.115 (20000),0.120 (97600)
378,$ESCB,EVERSENDAI CORP,0.455,0.47,-0.010,-2.150%,676100,0.47,0.46,0.455 (223500),0.460 (245400)
379,$EWIC,EWI CAPITAL,0.360,0.36,0.005,1.410%,1888800,0.37,0.36,0.360 (159700),0.365 (899300)
380,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
381,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
382,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
383,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
384,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
385,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
386,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
387,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
388,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
389,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
390,$AIMD,ADVANCE INFO MKT,0.025,0.03,-0.005,-16.670%,100000,0.03,0.03,0.025 (2707100),0.030 (60000)
391,$ADVA,ADVANCE SYNERGY,0.065,0.07,0.000,0.000%,992000,0.07,0.06,0.060 (9094800),0.065 (764000)
392,$ADVN,ADVANCECON HLD,0.230,0.24,-0.005,-2.130%,179200,0.24,0.23,0.230 (609100),0.235 (429600)
393,$ADVE,ADVENTA BHD,0.200,0.21,-0.005,-2.440%,277500,0.21,0.20,0.195 (223500),0.200 (19800)
394,$AEMU,AE MULTI HLDGS,0.045,0.05,-0.005,-10.000%,30700,0.05,0.05,0.045 (141000),0.050 (15700)
395,$AEML,AEMULUS HOLDINGS,0.290,0.29,0.005,1.750%,4336000,0.31,0.29,0.290 (353600),0.295 (517200)
396,$AEOM,AEON CO. (M) BHD,1.400,1.37,0.030,2.190%,2474900,1.40,1.37,1.390 (156600),1.400 (187300)
397,$ANCR,AEON CREDIT,5.460,5.50,-0.050,-0.910%,683800,5.54,5.45,5.450 (40000),5.460 (17200)
398,$AFIN,AFFIN BANK,2.670,2.67,0.000,0.000%,149900,2.67,2.64,2.660 (40000),2.670 (66500)
399,$AGMO,AGMO HOLDINGS,0.500,0.50,0.005,1.010%,5548600,0.52,0.49,0.500 (109700),0.505 (131900)
400,$GCAP,G CAPITAL BERHAD,0.265,0.27,0.000,0.000%,485500,0.27,0.27,0.260 (288500),0.265 (437000)
401,$GLOA,G3 GLOBAL BHD,0.010,0.02,-0.005,-33.330%,31400,0.01,0.01,0.010 (108748100),0.015 (22936600)
402,$GAQR,GABUNGAN AQRS,0.200,0.19,0.010,5.260%,2996700,0.22,0.19,0.195 (711200),0.200 (212900)
403,$GADA,GADANG HLDGS BHD,0.260,0.27,-0.005,-1.890%,538700,0.26,0.26,0.255 (659900),0.260 (115400)
404,$GAGA,GAGASAN NADI,0.315,0.32,-0.005,-1.560%,166000,0.32,0.32,0.315 (521800),0.320 (977200)
405,$GAMU,GAMUDA BHD,5.090,5.10,0.000,0.000%,12486400,5.11,5.06,5.090 (1582600),5.100 (2053600)
406,$GASM,GAS MALAYSIA,4.380,4.41,-0.020,-0.450%,236100,4.41,4.37,4.390 (6700),4.400 (22600)
407,$GDBH,GDB HOLDINGS,0.390,0.39,0.005,1.300%,1915300,0.40,0.39,0.385 (459600),0.390 (653700)
408,$GDEX,GDEX,0.135,0.14,-0.005,-3.570%,3132600,0.15,0.14,0.135 (2202500),0.140 (581500)
409,$GESH,GE-SHEN CORP,1.580,1.57,0.010,0.640%,26200,1.58,1.58,1.570 (25000),1.590 (78000)
410,$GCAP,G CAPITAL BERHAD,0.265,0.27,0.000,0.000%,485500,0.27,0.27,0.260 (288500),0.265 (437000)
411,$GLOA,G3 GLOBAL BHD,0.010,0.02,-0.005,-33.330%,31400,0.01,0.01,0.010 (108748100),0.015 (22936600)
412,$GAQR,GABUNGAN AQRS,0.200,0.19,0.010,5.260%,2996700,0.22,0.19,0.195 (711200),0.200 (212900)
413,$GADA,GADANG HLDGS BHD,0.260,0.27,-0.005,-1.890%,538700,0.26,0.26,0.255 (659900),0.260 (115400)
414,$GAGA,GAGASAN NADI,0.315,0.32,-0.005,-1.560%,166000,0.32,0.32,0.315 (521800),0.320 (977200)
415,$GAMU,GAMUDA BHD,5.090,5.10,0.000,0.000%,12486400,5.11,5.06,5.090 (1582600),5.100 (2053600)
416,$GASM,GAS MALAYSIA,4.380,4.41,-0.020,-0.450%,236100,4.41,4.37,4.390 (6700),4.400 (22600)
417,$GDBH,GDB HOLDINGS,0.390,0.39,0.005,1.300%,1915300,0.40,0.39,0.385 (459600),0.390 (653700)
418,$GDEX,GDEX,0.135,0.14,-0.005,-3.570%,3132600,0.15,0.14,0.135 (2202500),0.140 (581500)
419,$GESH,GE-SHEN CORP,1.580,1.57,0.010,0.640%,26200,1.58,1.58,1.570 (25000),1.590 (78000)
420,$GCAP,G CAPITAL BERHAD,0.265,0.27,0.000,0.000%,485500,0.27,0.27,0.260 (288500),0.265 (437000)
421,$GLOA,G3 GLOBAL BHD,0.010,0.02,-0.005,-33.330%,31400,0.01,0.01,0.010 (108748100),0.015 (22936600)
422,$GAQR,GABUNGAN AQRS,0.200,0.19,0.010,5.260%,2996700,0.22,0.19,0.195 (711200),0.200 (212900)
423,$GADA,GADANG HLDGS BHD,0.260,0.27,-0.005,-1.890%,538700,0.26,0.26,0.255 (659900),0.260 (115400)
424,$GAGA,GAGASAN NADI,0.315,0.32,-0.005,-1.560%,166000,0.32,0.32,0.315 (521800),0.320 (977200)
